GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P043001,P043001.2000,P043002,P043002.2000,P043003,P043003.2000,P043004,P043004.2000,P043005,P043005.2000,P043006,P043006.2000,P043007,P043007.2000,P043008,P043008.2000,P043009,P043009.2000,P043010,P043010.2000,P043011,P043011.2000,P043012,P043012.2000,P043013,P043013.2000,P043014,P043014.2000,P043015,P043015.2000,P043016,P043016.2000,P043017,P043017.2000,P043018,P043018.2000,P043019,P043019.2000,P043020,P043020.2000,P043021,P043021.2000,P043022,P043022.2000,P043023,P043023.2000,P043024,P043024.2000,P043025,P043025.2000,P043026,P043026.2000,P043027,P043027.2000,P043028,P043028.2000,P043029,P043029.2000,P043030,P043030.2000,P043031,P043031.2000,P043032,P043032.2000,P043033,P043033.2000,P043034,P043034.2000,P043035,P043035.2000,P043036,P043036.2000,P043037,P043037.2000,P043038,P043038.2000,P043039,P043039.2000,P043040,P043040.2000,P043041,P043041.2000,P043042,P043042.2000,P043043,P043043.2000,P043044,P043044.2000,P043045,P043045.2000,P043046,P043046.2000,P043047,P043047.2000,P043048,P043048.2000,P043049,P043049.2000,P043050,P043050.2000,P043051,P043051.2000,P043052,P043052.2000,P043053,P043053.2000,P043054,P043054.2000,P043055,P043055.2000,P043056,P043056.2000,P043057,P043057.2000,P043058,P043058.2000,P043059,P043059.2000,P043060,P043060.2000,P043061,P043061.2000,P043062,P043062.2000,P043063,P043063.2000
53001,050,53,001,99999,999,,,Adams County,18728,6242,16428,5773,162,245,71,117,1,26,1,2,1,0,0,,0,0,0,,0,24,0,0,0,0,0,24,42,53,42,13,27,13,0,,15,0,0,,0,40,0,0,0,0,0,40,28,38,28,35,0,0,0,,28,35,0,,0,3,0,0,0,0,0,3,91,128,0,30,0,6,0,0,0,,0,0,0,,0,24,0,0,0,0,0,24,18,43,17,8,0,2,0,,17,6,0,,1,35,0,0,0,0,1,35,73,55,73,48,0,0,0,,73,48,0,,0,7,0,0,0,0,0,7
53003,050,53,003,30300,999,,,Asotin County,21623,9872,20551,9111,174,342,86,89,0,3,0,3,0,3,0,,0,0,0,,0,0,0,0,0,0,0,0,51,49,44,35,38,26,0,,6,4,0,,7,14,0,0,0,0,7,14,35,37,31,20,0,0,0,,31,17,0,,4,17,0,0,0,0,4,17,88,253,1,0,1,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,0,19,27,16,12,8,2,0,,8,5,0,,3,15,0,0,0,0,3,15,68,226,58,101,0,0,0,,58,91,0,,10,125,0,0,0,0,10,125
53005,050,53,005,28420,999,,,Benton County,175177,68618,142475,55963,1426,823,844,445,31,73,26,62,1,2,25,,0,0,0,,5,11,0,0,0,0,5,11,679,263,624,235,589,221,0,,35,7,0,,55,28,0,0,0,0,55,28,134,109,89,79,2,3,0,,84,74,3,,45,30,0,0,0,0,45,30,582,378,13,25,10,12,0,0,10,,0,0,0,,3,13,0,0,0,0,3,13,192,82,129,48,100,38,1,,28,10,0,,63,34,0,0,0,0,63,34,377,271,250,186,0,0,0,,246,185,4,,127,85,0,0,0,0,127,85
53009,050,53,009,38820,999,,,Clallam County,71404,35582,64525,30683,1899,1868,1417,1521,31,76,14,74,0,74,14,,0,0,0,,17,2,0,2,1,0,16,0,1243,1354,1013,1225,1006,1216,0,,7,9,0,,230,129,7,33,77,32,146,64,143,91,75,71,7,1,0,,68,61,0,,68,20,0,0,0,0,68,20,482,347,12,0,5,0,0,0,5,,0,0,0,,7,0,0,0,0,0,7,0,136,97,26,36,24,22,0,,2,12,0,,110,61,2,28,25,4,83,29,334,250,160,218,0,0,0,,160,199,0,,174,32,0,0,0,0,174,32
53013,050,53,013,99999,999,,,Columbia County,4078,2136,4064,2018,75,78,42,31,0,3,0,3,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,26,16,7,2,7,2,0,,0,0,0,,19,14,0,0,0,0,19,14,16,12,16,9,0,0,0,,16,0,0,,0,3,0,0,0,0,0,3,33,47,0,1,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,10,13,2,1,0,0,0,,2,0,0,,8,12,0,0,0,0,8,12,23,33,21,32,0,0,0,,21,4,0,,2,1,0,0,0,0,2,1
53015,050,53,015,31020,999,,,Cowlitz County,102410,43450,92948,38624,1207,1420,646,706,41,65,19,47,0,2,19,,0,0,0,,22,18,0,0,0,0,22,18,454,449,320,281,302,248,2,,16,19,0,,134,168,0,0,0,0,134,168,151,192,142,134,3,0,0,,137,131,2,,9,58,0,0,0,0,9,58,561,714,25,16,7,0,0,0,7,,0,0,0,,18,16,0,0,0,0,18,16,168,134,64,63,43,39,0,,21,24,0,,104,71,0,0,0,0,104,71,368,564,340,427,0,0,0,,338,420,2,,28,137,0,0,0,0,28,137
53017,050,53,017,48300,999,,,Douglas County,38431,16004,32603,12944,190,293,106,114,9,15,5,12,0,4,5,,0,0,0,,4,3,0,0,0,0,4,3,69,51,11,14,0,8,7,,4,6,0,,58,37,0,0,0,0,58,37,28,48,28,37,0,0,0,,28,37,0,,0,11,0,0,0,0,0,11,84,179,1,7,0,7,0,0,0,,0,0,0,,1,0,0,0,0,0,1,0,7,24,4,11,0,0,0,,4,10,0,,3,13,0,0,0,0,3,13,76,148,69,114,0,1,0,,69,113,0,,7,34,0,0,0,0,7,34
53025,050,53,025,34180,999,,,Grant County,89120,35083,74698,29081,1245,1093,740,614,58,92,23,27,0,1,23,,0,0,0,,35,65,5,1,0,0,30,64,596,406,226,164,209,147,1,,16,13,0,,370,242,180,77,0,0,190,165,86,116,74,99,2,1,0,,66,93,6,,12,17,2,0,0,0,10,17,505,479,42,54,3,4,0,0,3,,0,0,0,,39,50,3,0,0,0,36,50,263,149,44,35,28,23,0,,16,12,0,,219,114,101,22,0,0,118,92,200,276,172,235,0,1,0,,150,226,22,,28,41,0,0,0,0,28,41
53027,050,53,027,10140,999,,,Grays Harbor County,72797,35166,67194,32489,2731,640,2430,319,26,24,21,21,0,1,21,,0,0,0,,5,3,0,0,1,0,4,3,2266,191,2085,139,2068,131,0,,17,7,0,,181,52,0,0,3,8,178,44,138,104,129,69,58,5,0,,71,55,0,,9,35,0,0,0,0,9,35,301,321,11,13,5,11,0,0,5,,0,0,0,,6,2,0,0,0,0,6,2,90,59,43,28,19,17,0,,24,10,0,,47,31,0,0,0,1,47,30,200,249,194,174,0,0,0,,194,120,0,,6,75,0,0,0,0,6,75
53029,050,53,029,36020,500,,,Island County,78506,40234,71558,32378,1466,1479,1025,1077,8,6,0,0,0,0,0,,0,0,0,,8,6,0,0,1,2,7,4,945,1022,54,38,45,33,0,,9,5,0,,891,984,2,0,878,980,11,4,72,49,71,42,0,0,0,,69,42,2,,1,7,0,0,0,0,1,7,441,402,8,4,0,0,0,0,0,,0,0,0,,8,4,0,0,0,4,8,0,217,232,23,11,12,3,0,,11,8,0,,194,221,0,0,185,215,9,6,216,166,177,128,0,0,0,,173,128,4,,39,38,0,0,0,0,39,38
